Supplementary Data 3: Activity Levels for Fig. 3d,,,,,,,,,,,,
,AvrRpt2_stp,AvrRpt2_DE,AvrRpt2_WT,AvrRpt2_b2b3,WT_WT_SA,WT_WT_chitin,WT_WT_mock,WT_WT,AvrRpt2_npr1,AvrRpt2_PS,AvrRpt2_pad4,AvrRpt2_sid2
Pyoverdine,-25.61608434,-18.21038716,-21.85871097,-23.04158343,-1.48586061,-4.321779938,1.303458809,0,-13.00436424,-6.204022979,-13.93027215,-13.74259162
Yersiniabactin,-6.45980372,-2.353065092,-3.502401812,-4.058639713,-1.291332735,-2.651797739,1.634271336,-8.33E-12,-2.651069493,-0.874928734,-2.478469428,-1.965647612
Resistance-1,8.733633948,1.435469889,8.34716829,6.095275782,9.609103564,9.865061141,2.835475345,-8.33E-12,1.508078059,-2.340454974,1.850515414,2.553151673
Osmotic Stress,22.3490374,9.607733371,16.2625595,16.58183577,6.705131443,13.34891228,0.669705279,2.22E-16,-2.775922682,2.387789344,7.512834539,10.00085954
T3SS,-12.76734973,-1.207397315,-6.621902792,-4.504197542,7.564158709,5.180829066,3.410317991,9.71E-17,6.97724446,5.014114796,2.246176982,5.750270843
Translation-2,-1.829244339,5.84399531,2.17975753,6.12477038,-0.309732523,-5.908667105,-0.378812407,-7.40E-17,6.033364362,3.257183792,2.561706522,2.770464181
AlgU,8.895387628,4.410475021,6.040698769,6.65734418,1.523422463,3.358764675,-0.52147248,0,2.119832529,3.085539965,4.203750049,5.697394434
Translation-1,-2.108735369,1.866389441,2.437029631,1.886283604,1.774248007,-0.008820979,1.563856271,7.40E-17,1.805650196,4.237423299,4.056765461,3.790559855
Fe-S/Oxidative Stress,-5.284201884,-2.356219096,-4.070356647,0.290794704,0.922532573,-0.238524323,0.283637907,8.33E-12,-2.942866298,-4.997145485,-6.019721393,-3.622530655
Unchar-8,7.409326268,-0.971085635,0.678723496,8.559160522,-1.057268293,0.540773504,-1.622190105,7.40E-17,-0.493145195,-5.694198413,-4.482137881,-4.920878182
Unchar-7,2.32976146,-0.536584337,0.717354725,4.402798304,0.064320633,-0.143824196,0.768347059,-1.48E-16,-0.068476113,-2.292695644,-1.732653047,-0.275859497
Sulfur-1,-10.92308098,-4.616659293,-9.300142626,-7.037033922,-2.225494201,3.669740363,-1.492896388,-1.30E-16,-5.189274728,-1.073689789,-4.134393,-2.954613557
Fe/Protein Transport,-5.789534534,-6.606069724,-6.306760891,-6.22535654,-0.039774396,-1.277760426,0.340020795,2.78E-17,-6.18322813,-4.611322502,-7.456378114,-6.680540711
